Portuguese,python
e,and
ErroDeAritmetica,ArithmeticError
ErroDeAfirmacao,AssertionError
ErroDeAtributo,AttributeError
arranjo, array
como,as
afirmar,assert
interromper,break
quebrar,break
baites,bytes
arranjodebaites,bytearray
classe,class
encerrar,close
fechar,close
complexo,complex
continuar,continue
defina,def
definir,def
apagar,del
AvisoDeDeprecacao,DeprecationWarning
dic,dict
ouse,elif
senao,else
ErroDeAmbiente,EnvironmentError
excecao,except
exceto,except
Excecao,Exception
Falso,False
finalmente,finally
flutuante,float
ErroDeFlutuante,FloatingPointError
para,for
de,from
ErroFuturo,FutureWarning
global,global
mundial,global
se,if
importar,import
importe,import
ErroDeImporte,ImportError
em,in
ErroDeIndentacao,IndentationError
ErroDeIndice,IndexError
iniciar,init
inicie,init
inteiro,int
erroES,IOError
mesmoque,is
is,is
ErroDeChave,KeyError
InterrucaoDeTeclado,KeyboardInterrupt
tamanho,len
lista,list
ErroDeMemoria,MemoryError
ErroDeNome,NameError
Nada,None
naolocal,nonlocal
nao,not
NaoImplementado,NotImplemented
ErroNaoImplementado,NotImplementedError
abra,open
abrir,open
ou,or
ignorar,pass
imprima,print
imprimir,print
levantar,raise
intervalo,range
serie,range
leia,read
ler,read
devolva,return
devolver,return
regressar,return
voltar,return
saida,return
mesmo,self
proprio,self
conjunto,set
conjuntocongelado,frozenset
texto,str
Verdadeiro,True
tentar,try
tente,try
com,with
enquanto,while
escreva,write
escrever,write
terminar,yield
obterdiretoriodetrabalhoatual,getcwd
arquivo,file
substituir,replace
enumerar,enumerate
sistema,system
remover,remove
listardiretorio,listdir
caminho,path
ehdiretorio,isdir
juntar,join
ambiente,environ
identificacaoterminaldecontrole,ctermid
obterambiente,getenv
seno,sin
cosseno,cos
tangente,tan
arcoseno,arcsin
arcocosseno,arccos
arcotangente,arctan
graus,degrees
radianos,radians
grauspararadianos,deg2rad
radianosparagraus,rad2deg
senohiperbolico,sinh
cossenohiperbolico,cosh
tangentehiperbolica,tanh
arcosenohiperbolico,arcsinh
arcocossenohiperbolico,arccosh
arcotangentehiperbolica,arctanh
arredondar,round
truncar,trunc
soma,sum
somar,sum
somacumulativa,cumsum
diferenca,diff
gradiente,gradient
exponencial,exp
logaritmo,log
logaritmobase10,log10
logaritmobase2,log2
parteimaginaria,imag
partereal,real
maximo,maximum
minino,minimum
raizquadrada,sqrt
modulo,absolute
